id,chapter,level_id,name_ko,recommended_level,credits,xp,required_rescues,boss_id,objective,target_minutes
M001,1,LV001,물류센터 귀환,1,400,100,7,BS001,잔향을 회수하고 지지점 2개를 유지해 7명 구조,20
M002,1,LV002,학교의 안전선,2,550,140,12,,방벽으로 복도를 지지하며 12명 대피,25
M003,1,LV003,남겨진 원본,4,800,200,0,BS001,원본 기록 3개 확보 후 강화 융합체 저지,25
M004,2,LV004,공동 계약,5,900,240,10,,주거 지역 배전함 3개 복구,25
M005,2,LV005,아파트 방벽,7,1100,300,15,,방벽 취약점 3곳을 순서대로 해체,25
M006,2,LV006,일곱 개의 이름,9,1400,400,20,BS002,기석의 통로를 방어하고 20명 귀환 확인,25
M007,3,LV007,열한 번째 아이,10,1500,420,0,,생존자 기록과 센서 3개 회수,25
M008,3,LV008,접히는 노선,12,1700,480,14,,접힌 승강장의 2개 경로 연결,25
M009,3,LV009,서울의 귀환로,13,2100,600,30,BS003,BS003 저지 후 도시 제어 3노드 안정화,25
M010,4,LV010,피난 도시,15,2200,620,8,,중립 피난민을 확인하고 통역 기록 확보,25
M011,4,LV011,앵커의 반대편,17,2400,700,0,,인간과 서기관의 피해 기록 대조,25
M012,4,LV012,아버지의 지도,18,2800,800,16,BS004,BS004 저지와 공동 피난 통로 유지,25
M013,5,LV013,공개할 권리,20,2900,850,0,,연구 자료 3노드를 통해 분산 공개,25
M014,5,LV014,해법의 온도,21,3200,900,0,,열 배출 3경로 개방 후 실험 중단,25
M015,5,LV015,첫 공동 보호구역,23,3600,1100,12,BS005,양측 제어를 동기화하고 BS005 저지,25
M016,6,LV016,폐문 명령,25,3800,1200,0,,폐문 설비 2개와 보복 병력 저지,25
M017,6,LV017,세 개의 전선,26,4200,1300,24,,현실 귀환로와 위상 방출로 연결,25
M018,6,LV018,마지막 회수,28,5000,1500,7,BS006,노드 3개 이양 후 BS006 해체와 귀환 확인,25
