id,actor,name,duration_s,frames_30fps,loop,events,root_motion,scope,status
AN001,TK01,idle,2,60,True,breath,False,VS,Planned
AN002,TK01,walk,1,30,True,footsteps,False,VS,Planned
AN003,TK01,run,0.8,24,True,footsteps,False,VS,Planned
AN004,TK01,stop,0.3,9,False,none,False,VS,Planned
AN005,TK01,turn,0.4,12,False,none,False,VS,Planned
AN006,TK01,attack01,0.5,15,False,hit_0.18,False,VS,Planned
AN007,TK01,attack02,0.6,18,False,hit_0.22,False,VS,Planned
AN008,TK01,dodge,0.4,12,False,logic_0.35,False,VS,Planned
AN009,TK01,reclaim_start,0.4,12,False,channel_start,False,VS,Planned
AN010,TK01,reclaim_loop,0.8,24,True,residue,False,VS,Planned
AN011,TK01,reclaim_end,0.3,9,False,channel_end,False,VS,Planned
AN012,TK01,shield_cast,0.6,18,False,spawn_shield,False,VS,Planned
AN013,TK01,pull_cast,0.5,15,False,spawn_tether,False,VS,Planned
AN014,TK01,return_cast,0.7,21,False,release,False,Full,Planned
AN015,TK01,disrupt_cast,0.8,24,False,weakpoint,False,Full,Planned
AN016,TK01,safe_route_cast,1.0,30,False,route,False,Full,Planned
AN017,TK01,field_cast,1.2,36,False,field,False,Full,Planned
AN018,TK01,hit_light,0.3,9,False,stagger,False,VS,Planned
AN019,TK01,hit_heavy,0.8,24,False,knockdown,False,Full,Planned
AN020,TK01,get_up,1,30,False,control_restore,False,Full,Planned
AN021,TK01,death,1.6,48,False,input_off,False,VS,Planned
AN022,TK01,interact,1.2,36,False,interact,False,VS,Planned
AN023,TK01,rescue_hold,2,60,True,brace,False,VS,Planned
AN024,TK01,heal,1.2,36,False,heal_apply,False,VS,Planned
AN025,TK01,talk,2.4,72,True,gesture,False,Full,Planned
AN026,TK01,nod,0.8,24,False,none,False,Full,Planned
AN027,SR01,idle,2,60,True,per_encounter_spec,False,VS,Planned
AN028,SR01,talk,2,60,False,per_encounter_spec,False,VS,Planned
AN029,SR01,medical_kneel,2,60,False,per_encounter_spec,False,VS,Planned
AN030,SR01,fixed_cast,2,60,False,per_encounter_spec,False,VS,Planned
AN031,HR01,idle,2,60,True,per_encounter_spec,False,Full,Planned
AN032,HR01,tablet,2,60,False,per_encounter_spec,False,Full,Planned
AN033,HR01,sensor_adjust,2,60,False,per_encounter_spec,False,Full,Planned
AN034,DY01,idle,2,60,True,per_encounter_spec,False,Full,Planned
AN035,DY01,run,2,60,False,per_encounter_spec,False,Full,Planned
AN036,DY01,signal,2,60,False,per_encounter_spec,False,Full,Planned
AN037,DY01,accel_attack,2,60,False,per_encounter_spec,False,Full,Planned
AN038,MR01,idle,2,60,True,per_encounter_spec,False,Full,Planned
AN039,MR01,talk,2,60,False,per_encounter_spec,False,Full,Planned
AN040,MR01,notebook,2,60,False,per_encounter_spec,False,Full,Planned
AN041,BK01,idle,2,60,True,per_encounter_spec,False,VS,Planned
AN042,BK01,count,2,60,False,per_encounter_spec,False,VS,Planned
AN043,BK01,brace,2,60,False,per_encounter_spec,False,VS,Planned
AN044,BK01,last_breath,2,60,False,per_encounter_spec,False,VS,Planned
AN045,SW01,idle,2,60,True,per_encounter_spec,False,Full,Planned
AN046,SW01,boundary_cast,2,60,False,per_encounter_spec,False,Full,Planned
AN047,SW01,talk,2,60,False,per_encounter_spec,False,Full,Planned
AN048,ST01,idle,2,60,True,per_encounter_spec,False,Full,Planned
AN049,ST01,talk,2,60,False,per_encounter_spec,False,Full,Planned
AN050,ST01,plate_emotion,2,60,False,per_encounter_spec,False,Full,Planned
AN051,BS001,idle,2,60,True,per_encounter_spec,False,VS,Planned
AN052,BS001,telegraph,2,60,False,per_encounter_spec,False,VS,Planned
AN053,BS001,charge,2,60,False,per_encounter_spec,False,VS,Planned
AN054,BS001,recover,2,60,False,per_encounter_spec,False,VS,Planned
AN055,BS001,stagger,2,60,False,per_encounter_spec,False,VS,Planned
AN056,BS001,death,2,60,False,per_encounter_spec,False,VS,Planned
