id,category,name_ko,specification,quantity,scope,owner_role,status,source_license
TK01,Character,태경,FBX LOD0/1/2; body 2048 PNG; see doc11,1,VS,Art,Planned,To confirm
SR01,Character,서린,FBX LOD0/1/2; body 2048 PNG; see doc11,1,VS,Art,Planned,To confirm
HR01,Character,하린,FBX LOD0/1/2; body 2048 PNG; see doc11,1,Full,Art,Planned,To confirm
DY01,Character,도윤,FBX LOD0/1/2; body 2048 PNG; see doc11,1,Full,Art,Planned,To confirm
MR01,Character,미라,FBX LOD0/1/2; body 2048 PNG; see doc11,1,Full,Art,Planned,To confirm
BK01,Character,기석,FBX LOD0/1/2; body 2048 PNG; see doc11,1,VS,Art,Planned,To confirm
SW01,Character,선우,FBX LOD0/1/2; body 2048 PNG; see doc11,1,Full,Art,Planned,To confirm
ST01,Character,세라트,FBX LOD0/1/2; body 2048 PNG; see doc11,1,Full,Art,Planned,To confirm
EN001,Enemy,균열 추적체,FBX LOD0/1; 2048 PNG; behavior states,1,VS,Art,Planned,To confirm
EN002,Enemy,잔류 포격체,FBX LOD0/1; 2048 PNG; behavior states,1,VS,Art,Planned,To confirm
EN003,Enemy,기업 방벽병,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
EN004,Enemy,케이블 포획체,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
EN005,Enemy,표지판 의태체,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
EN006,Enemy,서기관 파수병,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
EN007,Enemy,위상 방출체,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
EN008,Enemy,폐문 정예병,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
BS001,Enemy,적재장 융합체,FBX LOD0/1; 2048 PNG; behavior states,1,VS,Art,Planned,To confirm
BS002,Enemy,주거 방벽핵,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
BS003,Enemy,분기역 수호체,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
BS004,Enemy,추방지의 집행자,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
BS005,Enemy,역류 실험체,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
BS006,Enemy,폐문핵,FBX LOD0/1; 2048 PNG; behavior states,1,Full,Art,Planned,To confirm
PR001,Prop,배송 상자,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR002,Prop,팔레트,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR003,Prop,배전함,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR004,Prop,철제 선반,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR005,Prop,지게차,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR006,Prop,컨베이어,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR007,Prop,화물 셔터,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR008,Prop,안전 기둥,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR009,Prop,작업등,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR010,Prop,소화기,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR011,Prop,실외기,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR012,Prop,통제선,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR013,Prop,회수 차량,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR014,Prop,의료 가방,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR015,Prop,대피 표지,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR016,Prop,이동 배터리,FBX; 512~1024 PNG; pivot and collider,1,VS,Art,Planned,To confirm
PR017,Prop,개찰구,FBX; 512~1024 PNG; pivot and collider,1,Full,Art,Planned,To confirm
PR018,Prop,스크린도어,FBX; 512~1024 PNG; pivot and collider,1,Full,Art,Planned,To confirm
PR019,Prop,변압기,FBX; 512~1024 PNG; pivot and collider,1,Full,Art,Planned,To confirm
PR020,Prop,앵커 링,FBX; 512~1024 PNG; pivot and collider,1,Full,Art,Planned,To confirm
EV01_wall,Environment,산업 골목 wall,2m grid; 1024~2048 tiling; FBX/PNG,4,VS,Art,Planned,To confirm
EV01_floor,Environment,산업 골목 floor,2m grid; 1024~2048 tiling; FBX/PNG,3,VS,Art,Planned,To confirm
EV01_door,Environment,산업 골목 door,2m grid; 1024~2048 tiling; FBX/PNG,2,VS,Art,Planned,To confirm
EV01_decal,Environment,산업 골목 decal,2m grid; 1024~2048 tiling; FBX/PNG,6,VS,Art,Planned,To confirm
EV02_wall,Environment,주거 재개발 wall,2m grid; 1024~2048 tiling; FBX/PNG,4,Full,Art,Planned,To confirm
EV02_floor,Environment,주거 재개발 floor,2m grid; 1024~2048 tiling; FBX/PNG,3,Full,Art,Planned,To confirm
EV02_door,Environment,주거 재개발 door,2m grid; 1024~2048 tiling; FBX/PNG,2,Full,Art,Planned,To confirm
EV02_decal,Environment,주거 재개발 decal,2m grid; 1024~2048 tiling; FBX/PNG,6,Full,Art,Planned,To confirm
EV03_wall,Environment,지하철 앵커 wall,2m grid; 1024~2048 tiling; FBX/PNG,4,Full,Art,Planned,To confirm
EV03_floor,Environment,지하철 앵커 floor,2m grid; 1024~2048 tiling; FBX/PNG,3,Full,Art,Planned,To confirm
EV03_door,Environment,지하철 앵커 door,2m grid; 1024~2048 tiling; FBX/PNG,2,Full,Art,Planned,To confirm
EV03_decal,Environment,지하철 앵커 decal,2m grid; 1024~2048 tiling; FBX/PNG,6,Full,Art,Planned,To confirm
EV04_wall,Environment,위상층 피난소 wall,2m grid; 1024~2048 tiling; FBX/PNG,4,Full,Art,Planned,To confirm
EV04_floor,Environment,위상층 피난소 floor,2m grid; 1024~2048 tiling; FBX/PNG,3,Full,Art,Planned,To confirm
EV04_door,Environment,위상층 피난소 door,2m grid; 1024~2048 tiling; FBX/PNG,2,Full,Art,Planned,To confirm
EV04_decal,Environment,위상층 피난소 decal,2m grid; 1024~2048 tiling; FBX/PNG,6,Full,Art,Planned,To confirm
EV05_wall,Environment,공동 실험실 wall,2m grid; 1024~2048 tiling; FBX/PNG,4,Full,Art,Planned,To confirm
EV05_floor,Environment,공동 실험실 floor,2m grid; 1024~2048 tiling; FBX/PNG,3,Full,Art,Planned,To confirm
