id,title,precondition,steps,expected,severity,status,actual_result,build_id
QA001,피해 내림,ATK20 armor20 coef1,기본 공격 1회,16피해,P1,Not Run,,
QA002,에너지 포화,energy95 token8,회수,energy100 token3,P1,Not Run,,
QA003,중복 회수,동일 tokenId,같은 요청 2회,1회만 지급,P0,Not Run,,
QA004,자체 잔향 금지,플레이어 능력,연속 시전,자가 토큰 생성 0,P1,Not Run,,
QA005,쿨다운 우회,도식 사용,재장착,쿨다운 유지,P1,Not Run,,
QA006,자원 부족,energy0,SK003 시도,발동 및 차감 없음,P1,Not Run,,
QA007,방벽 초과 피해,방벽10 피해30,정면 타격,방벽0 HP20감소,P1,Not Run,,
QA008,방벽 후면,방벽 활성,뒤에서 타격,HP에 피해,P1,Not Run,,
QA009,회피 무적,회피 시작,0.10초 피격,피해 없음,P1,Not Run,,
QA010,회피 후딜,회피 시작,0.30초 피격,정상 피해,P1,Not Run,,
QA011,층 분리,다른 navFloorId,아래층 공격,위층 타격 없음,P1,Not Run,,
QA012,보스 견인,BS001,SK004 시전,강제이동 대신 경직,P2,Not Run,,
QA013,필수 구조,6/7 귀환,보스 처치,승리 안 됨,P1,Not Run,,
QA014,체크포인트,CP1 저장,죽고 재시도,적 토큰 목표 동시 복원,P0,Not Run,,
QA015,결과 중 종료,임무 완료,정산 중 종료 재실행,보상 1회,P0,Not Run,,
QA016,구매 연타,충분한 재화,같은 transaction2회,한 번 구매,P0,Not Run,,
QA017,가방 포화,24개 장비,구매,차감 전 거절,P1,Not Run,,
QA018,저장 손상,current 손상,로드,백업 선택 안내,P0,Not Run,,
QA019,미래 저장,schemaVersion999,로드,덮어쓰기 없이 안내,P0,Not Run,,
QA020,오프라인,네트워크 차단,처음부터 임무,기본 진행 가능,P1,Not Run,,
QA021,패드 해제,전투 중,연결 해제,정지와 안내,P1,Not Run,,
QA022,포커스 복원,연구 팝업,닫기,이전 버튼 포커스,P2,Not Run,,
QA023,자막 확대,최대 크기,긴 대사,잘림 없음,P2,Not Run,,
QA024,가려짐,벽 뒤 이동,공격 예고,인물과 예고 식별,P1,Not Run,,
QA025,효과 감소,왜곡 끄기,보스전,공격 정보 유지,P1,Not Run,,
QA026,저사양 성능,후보 PC Low,180초3회,목표 측정 및 보고,P1,Not Run,,
QA027,드롭 합계,표준 드롭,합 계산,1.0,P1,Not Run,,
QA028,입력 충돌,재매핑,중복키 지정,안내와 해결 제공,P2,Not Run,,
QA029,씬 스킵,주요 컷신,스킵,동일 목표 플래그,P1,Not Run,,
QA030,전체 진행,클린 설치,M001~M018,막힘 없는 엔딩,P1,Not Run,,
QA031,키보드 전환,패드 메뉴,마우스 이동,포커스 상태 유지,P2,Not Run,,
QA032,저장 공간 부족,디스크 full 모의,저장,기존 저장 보존,P0,Not Run,,
