id,name_ko,hp,armor,attack,telegraph_s,residue_energy,alloy_probability,research_probability
EN001,균열 추적체,60,0,18,0.8,8,0.3,0.05
EN002,잔류 포격체,90,10,24,0.9,8,0.3,0.05
EN003,기업 방벽병,180,25,24,0.8,16,0.4,0.1
EN004,케이블 포획체,160,15,28,1.0,8,0.3,0.05
EN005,표지판 의태체,220,10,32,1.1,8,0.3,0.05
EN006,서기관 파수병,320,30,38,1.0,16,0.4,0.1
EN007,위상 방출체,260,15,42,1.2,8,0.3,0.05
EN008,폐문 정예병,420,40,45,1.0,16,0.4,0.1
BS001,적재장 융합체,1400,20,32,1.1,40,0,0
BS002,주거 방벽핵,2400,25,38,1.2,40,0,0
BS003,분기역 수호체,3600,30,44,1.3,40,0,0
BS004,추방지의 집행자,4800,35,50,1.2,40,0,0
BS005,역류 실험체,5800,35,54,1.2,40,0,0
BS006,폐문핵,7200,40,58,1.4,40,0,0
